country_code,nombre_completo,confederacion,status,pj,g,e,p,pts,gf,gc,dg,gf_per_game,gc_per_game,win_pct
UKR,Ukraine,UEFA,playoff,6,3,1,2,10,10,11,-1,1.667,1.833,0.5
NIR,Northern Ireland,UEFA,playoff,6,3,0,3,9,7,6,1,1.167,1.0,0.5
SWE,Sweden,UEFA,playoff,6,0,2,4,2,4,12,-8,0.667,2.0,0.0
QAT,Qatar,AFC,confirmed,18,10,3,5,33,37,28,9,2.056,1.556,0.556
JPN,Japan,AFC,confirmed,16,13,2,1,41,54,3,51,3.375,0.188,0.812
KOR,South Korea,AFC,confirmed,16,11,5,0,38,40,8,32,2.5,0.5,0.688
IRN,Iran,AFC,confirmed,16,11,4,1,37,35,12,23,2.188,0.75,0.688
UZB,Uzbekistan,AFC,confirmed,16,10,5,1,35,27,11,16,1.688,0.688,0.625
IRQ,Iraq,AFC,playoff,18,11,4,3,37,27,11,16,1.5,0.611,0.611
JOR,Jordan,AFC,confirmed,16,8,5,3,29,32,12,20,2.0,0.75,0.5
KSA,Saudi Arabia,AFC,confirmed,18,8,6,4,30,22,13,9,1.222,0.722,0.444
AUS,Australia,AFC,confirmed,16,11,4,1,37,38,7,31,2.375,0.438,0.688
ARG,Argentina,CONMEBOL,confirmed,18,12,2,4,38,31,10,21,1.722,0.556,0.667
ECU,Ecuador,CONMEBOL,confirmed,18,8,8,2,29,14,5,9,0.778,0.278,0.444
COL,Colombia,CONMEBOL,confirmed,18,7,7,4,28,28,18,10,1.556,1.0,0.389
URU,Uruguay,CONMEBOL,confirmed,18,7,7,4,28,22,12,10,1.222,0.667,0.389
BRA,Brazil,CONMEBOL,confirmed,18,8,4,6,28,24,17,7,1.333,0.944,0.444
PAR,Paraguay,CONMEBOL,confirmed,18,7,7,4,28,14,10,4,0.778,0.556,0.389
BOL,Bolivia,CONMEBOL,playoff,18,6,2,10,20,17,35,-18,0.944,1.944,0.333
USA,United States,CONCACAF,confirmed,0,0,0,0,0,0,0,0,0.0,0.0,0.0
MEX,Mexico,CONCACAF,confirmed,0,0,0,0,0,0,0,0,0.0,0.0,0.0
CAN,Canada,CONCACAF,confirmed,0,0,0,0,0,0,0,0,0.0,0.0,0.0
CUW,Curaçao,CONCACAF,confirmed,6,3,3,0,12,13,3,10,2.167,0.5,0.5
PAN,Panama,CONCACAF,confirmed,6,3,3,0,12,9,4,5,1.5,0.667,0.5
JAM,Jamaica,CONCACAF,playoff,6,3,2,1,11,11,3,8,1.833,0.5,0.5
HAI,Haiti,CONCACAF,confirmed,6,3,2,1,11,9,6,3,1.5,1.0,0.5
SUR,Suriname,CONCACAF,playoff,6,2,3,1,9,9,6,3,1.5,1.0,0.333
TUN,Tunisia,CAF,confirmed,10,9,1,0,28,22,0,22,2.2,0.0,0.9
CIV,Côte d'Ivoire,CAF,confirmed,10,8,2,0,26,25,0,25,2.5,0.0,0.8
EGY,Egypt,CAF,confirmed,10,8,2,0,26,20,2,18,2.0,0.2,0.8
GHA,Ghana,CAF,confirmed,10,8,1,1,25,23,6,17,2.3,0.6,0.8
ALG,Algeria,CAF,confirmed,10,8,1,1,25,24,8,16,2.4,0.8,0.8
SEN,Senegal,CAF,confirmed,10,7,3,0,24,22,3,19,2.2,0.3,0.7
MAR,Morocco,CAF,confirmed,8,8,0,0,24,22,2,20,2.75,0.25,1.0
CPV,Cape Verde,CAF,confirmed,10,7,2,1,23,16,8,8,1.6,0.8,0.7
RSA,South Africa,CAF,confirmed,10,5,3,2,18,15,9,6,1.5,0.9,0.5
NGA,Nigeria,CAF,playoff,10,4,5,1,17,15,8,7,1.5,0.8,0.4
NZL,New Zealand,OFC,confirmed,5,5,0,0,15,29,1,28,5.8,0.2,1.0
NCL,New Caledonia,OFC,playoff,5,3,1,1,10,10,7,3,2.0,1.4,0.6
